:ID,:LABEL,node_label,name
PFAS_MOF_016,PFASCategory,PFASCategory,PFAS (general)
PFAS_MOF_018,PFASCategory,PFASCategory,PFAS
PFAS_MOF_023,PFASCategory,PFASCategory,PFCA
PFAS_MOF_024,PFASCategory,PFASCategory,PFSA
PFAS_MOF_025,PFASCategory,PFASCategory,FTS
PFAS_MOF_026,PFASCategory,PFASCategory,FTCA
PFAS_MOF_027,PFASCategory,PFASCategory,FASAA
PFAS_MOF_028,PFASCategory,PFASCategory,FASA
