:START_ID,:END_ID,:TYPE
PFAS_022,EC_022_QED,HAS_PROPERTY
PFAS_023,EC_023_logKow,HAS_PROPERTY
PFAS_023,EC_023_ExposureScore_Water,HAS_PROPERTY
PFAS_023,EC_023_HazScore_EcoChronic,HAS_PROPERTY
PFAS_023,EC_023_TPSA,HAS_PROPERTY
PFAS_023,EC_023_QED,HAS_PROPERTY
PFAS_024,EC_024_logKow,HAS_PROPERTY
PFAS_024,EC_024_ExposureScore_Water,HAS_PROPERTY
PFAS_024,EC_024_HazScore_EcoChronic,HAS_PROPERTY
PFAS_024,EC_024_TPSA,HAS_PROPERTY
PFAS_024,EC_024_QED,HAS_PROPERTY
PFAS_025,EC_025_logKow,HAS_PROPERTY
PFAS_025,EC_025_ExposureScore_Water,HAS_PROPERTY
PFAS_025,EC_025_HazScore_EcoChronic,HAS_PROPERTY
PFAS_025,EC_025_TPSA,HAS_PROPERTY
PFAS_025,EC_025_QED,HAS_PROPERTY
PFAS_026,EC_026_logKow,HAS_PROPERTY
PFAS_026,EC_026_ExposureScore_Water,HAS_PROPERTY
PFAS_026,EC_026_HazScore_EcoChronic,HAS_PROPERTY
PFAS_026,EC_026_TPSA,HAS_PROPERTY
PFAS_026,EC_026_QED,HAS_PROPERTY
PFAS_027,EC_027_logKow,HAS_PROPERTY
PFAS_027,EC_027_ExposureScore_Water,HAS_PROPERTY
PFAS_027,EC_027_HazScore_EcoChronic,HAS_PROPERTY
PFAS_027,EC_027_TPSA,HAS_PROPERTY
PFAS_027,EC_027_QED,HAS_PROPERTY
PFAS_028,EC_028_logKow,HAS_PROPERTY
PFAS_028,EC_028_ExposureScore_Water,HAS_PROPERTY
PFAS_028,EC_028_HazScore_EcoChronic,HAS_PROPERTY
PFAS_028,EC_028_TPSA,HAS_PROPERTY
PFAS_028,EC_028_QED,HAS_PROPERTY
PFAS_029,EC_029_logKow,HAS_PROPERTY
PFAS_029,EC_029_ExposureScore_Water,HAS_PROPERTY
PFAS_029,EC_029_TPSA,HAS_PROPERTY
PFAS_029,EC_029_QED,HAS_PROPERTY
PFAS_030,EC_030_ExposureScore_Water,HAS_PROPERTY
