:ID,:LABEL,pfas_id,pfas_name,property,value,type,unit
EC_010_HazScore_EcoChronic,PFASProperty,PFAS_010,Perfluorohexanoyl fluoride,HazScore_EcoChronic,0.02,Score,
EC_010_TPSA,PFASProperty,PFAS_010,Perfluorohexanoyl fluoride,TPSA,17.07,Calculated,
EC_010_QED,PFASProperty,PFAS_010,Perfluorohexanoyl fluoride,QED,0.5722,Calculated,
EC_011_logKow,PFASProperty,PFAS_011,"1H,1H,5H-Perfluoropentanol",logKow,1.97,Experimental/Predicted,
EC_011_ExposureScore_Water,PFASProperty,PFAS_011,"1H,1H,5H-Perfluoropentanol",ExposureScore_Water,0.32,Score,
EC_011_HazScore_EcoChronic,PFASProperty,PFAS_011,"1H,1H,5H-Perfluoropentanol",HazScore_EcoChronic,0.02,Score,
EC_011_TPSA,PFASProperty,PFAS_011,"1H,1H,5H-Perfluoropentanol",TPSA,20.23,Calculated,
EC_011_QED,PFASProperty,PFAS_011,"1H,1H,5H-Perfluoropentanol",QED,0.736,Calculated,
EC_012_logKow,PFASProperty,PFAS_012,Perfluorooctyl iodide,logKow,6.99,Experimental/Predicted,
EC_012_ExposureScore_Water,PFASProperty,PFAS_012,Perfluorooctyl iodide,ExposureScore_Water,0.28,Score,
EC_012_HazScore_EcoChronic,PFASProperty,PFAS_012,Perfluorooctyl iodide,HazScore_EcoChronic,0.03,Score,
EC_012_TPSA,PFASProperty,PFAS_012,Perfluorooctyl iodide,TPSA,0.0,Calculated,
EC_012_QED,PFASProperty,PFAS_012,Perfluorooctyl iodide,QED,0.2061,Calculated,
EC_013_logKow,PFASProperty,PFAS_013,N-(4-Hydroxybutyl)-N-methylperfluorooctanesulfonamide,logKow,6.49,Experimental/Predicted,
EC_013_ExposureScore_Water,PFASProperty,PFAS_013,N-(4-Hydroxybutyl)-N-methylperfluorooctanesulfonamide,ExposureScore_Water,0.2,Score,
EC_013_HazScore_EcoChronic,PFASProperty,PFAS_013,N-(4-Hydroxybutyl)-N-methylperfluorooctanesulfonamide,HazScore_EcoChronic,0.08,Score,
EC_013_TPSA,PFASProperty,PFAS_013,N-(4-Hydroxybutyl)-N-methylperfluorooctanesulfonamide,TPSA,57.61,Calculated,
EC_013_QED,PFASProperty,PFAS_013,N-(4-Hydroxybutyl)-N-methylperfluorooctanesulfonamide,QED,0.2598,Calculated,
EC_014_logKow,PFASProperty,PFAS_014,Ethyl perfluorobutyl ether,logKow,3.83,Experimental/Predicted,
EC_014_ExposureScore_Water,PFASProperty,PFAS_014,Ethyl perfluorobutyl ether,ExposureScore_Water,0.51,Score,
EC_014_HazScore_EcoChronic,PFASProperty,PFAS_014,Ethyl perfluorobutyl ether,HazScore_EcoChronic,0.03,Score,
EC_014_TPSA,PFASProperty,PFAS_014,Ethyl perfluorobutyl ether,TPSA,9.23,Calculated,
EC_014_QED,PFASProperty,PFAS_014,Ethyl perfluorobutyl ether,QED,0.7065,Calculated,
EC_015_logKow,PFASProperty,PFAS_015,Perfluoromethyldecalin,logKow,6.47,Experimental/Predicted,
EC_015_ExposureScore_Water,PFASProperty,PFAS_015,Perfluoromethyldecalin,ExposureScore_Water,0.2,Score,
EC_015_TPSA,PFASProperty,PFAS_015,Perfluoromethyldecalin,TPSA,0.0,Calculated,
EC_015_QED,PFASProperty,PFAS_015,Perfluoromethyldecalin,QED,0.3422,Calculated,
EC_016_ExposureScore_Water,PFASProperty,PFAS_016,"3-((Perfluorooctylsulfonyl)-2-hydroxy-3-sulfopropylamino)-N-(2-hydroxyethyl)-N,N-dimethyl-1-propanaminium  monosodium hydroxide",ExposureScore_Water,0.24,Score,
EC_016_HazScore_EcoChronic,PFASProperty,PFAS_016,"3-((Perfluorooctylsulfonyl)-2-hydroxy-3-sulfopropylamino)-N-(2-hydroxyethyl)-N,N-dimethyl-1-propanaminium  monosodium hydroxide",HazScore_EcoChronic,0.08,Score,
EC_016_TPSA,PFASProperty,PFAS_016,"3-((Perfluorooctylsulfonyl)-2-hydroxy-3-sulfopropylamino)-N-(2-hydroxyethyl)-N,N-dimethyl-1-propanaminium  monosodium hydroxide",TPSA,165.04,Calculated,
EC_016_QED,PFASProperty,PFAS_016,"3-((Perfluorooctylsulfonyl)-2-hydroxy-3-sulfopropylamino)-N-(2-hydroxyethyl)-N,N-dimethyl-1-propanaminium  monosodium hydroxide",QED,0.0832,Calculated,
EC_017_ExposureScore_Water,PFASProperty,PFAS_017,"Ammonium perfluoro[(5-methoxy-1,3-dioxolan-4-yl)oxy]acetate",ExposureScore_Water,0.34,Score,
EC_017_HazScore_EcoChronic,PFASProperty,PFAS_017,"Ammonium perfluoro[(5-methoxy-1,3-dioxolan-4-yl)oxy]acetate",HazScore_EcoChronic,0.04,Score,
