:ID,:LABEL,Name,CAS_RN,SMILES,StdInChIKey,PubChem_CID,DTXSID,Molecular_Formula,logKow,logKow_predicted,n_F_atoms,MW,functional_group,chain_length,Ether_Linkage,HeavyAtomCount,HBD,HBA,RotatableBonds,TPSA,Fsp3,logP_rdkit,MolMR,QED,NumCl,NumBr,NumN,NumO,NumS,BertzCT,Kappa1,Kappa2,Kappa3,ExposureScore_Water_KEMI,HazScore_EcoChronic_KEMI,ValidationLevel_KEMI,pKa,node_type,CMC (mg/L)
PFAS_154,PFAS,Perfluorododecanoic acid (PFDoDA),307-55-1,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CXGONMQFMIYUJR-UHFFFAOYSA-N,67545.0,DTXSID8031861,C12H1F23O2,7.49,7.49,23.0,613.9609,Carboxylic acid,12.0,no,37.0,1.0,1.0,10.0,37.3,0.9167,6.9863,63.1608,0.2699,0.0,0.0,0.0,2.0,0.0,878.6477,34.86,8.1788,3.9014,0.29,0.2,2.0,,compound,
PFAS_155,PFAS,Perfluorononanoic acid (PFNA),375-95-1,O=C(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,UZUFPBIDKMEQEQ-UHFFFAOYSA-N,67821.0,DTXSID8031863,C9H1F17O2,5.48,5.48,17.0,463.9705,Carboxylic acid,9.0,yes,28.0,1.0,1.0,7.0,37.3,0.8889,5.0804,48.3198,0.5343,0.0,0.0,0.0,2.0,0.0,614.6078,26.28,6.1367,2.907,0.29,0.41,2.0,,compound,
PFAS_156,PFAS,Perfluorooctanoic acid (PFOA),335-67-1,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,SNGREZUHAYWORS-UHFFFAOYSA-N,9554.0,DTXSID8031865,C8H1F15O2,4.81,4.81,15.0,413.9737,Carboxylic acid,8.0,no,25.0,1.0,1.0,6.0,37.3,0.875,4.4451,43.3728,0.6531,0.0,0.0,0.0,2.0,0.0,530.1397,23.42,5.4563,2.7392,0.29,0.43,3.0,2.8,compound,
PFAS_157,PFAS,Ammonium perfluorooctanoate,3825-26-1,[H][N]([H])([H])([H])OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,YOALFLHFSFEMLP-UHFFFAOYSA-N,2776282.0,DTXSID8037708,C8H2F15N1O2,3.37,3.37,,,,8.0,yes,,,,,,,,,,,,,,,,,,,0.51,0.41,5.0,,compound,
PFAS_158,PFAS,Perfluoroundecanoic acid (PFUnDA),2058-94-8,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,SIDINRCMMRKXGQ-UHFFFAOYSA-N,77222.0,DTXSID8047553,C11H1F21O2,6.82,6.82,21.0,563.9641,Carboxylic acid,11.0,no,34.0,1.0,1.0,9.0,37.3,0.9091,6.351,58.2138,0.3319,0.0,0.0,0.0,2.0,0.0,789.0316,32.0,7.498,3.492,0.21,0.02,2.0,,compound,
PFAS_159,PFAS,Perfluorooctanesulfonamido ammonium iodide,1652-63-7,[I-].C[N+](C)(C)CCCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,MLIMEVJPZQAQQE-UHFFFAOYSA-M,,DTXSID8051419,C14H16F17IN2O2S,,,17.0,725.9706,Sulfonamide,9.0,no,37.0,1.0,2.0,12.0,46.17,1.0,1.973,85.1229,0.145,0.0,0.0,2.0,2.0,1.0,896.6548,38.557,10.4275,6.1131,0.25,0.08,,,compound,
PFAS_160,PFAS,Perfluoroheptane,335-57-9,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,LGUZHRODIJCVOC-UHFFFAOYSA-N,9553.0,DTXSID8052019,C7F16,5.5,5.5,16.0,387.9745,Perfluoroalkane,8.0,no,23.0,0.0,0.0,4.0,0.0,1.0,5.2875,36.845,0.5748,0.0,0.0,0.0,0.0,0.0,394.3256,21.88,4.9379,2.6617,0.33,0.01,2.0,,compound,
PFAS_161,PFAS,Perfluoroheptanesulfonic acid (PFHpS),375-92-8,O=[S](=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,OYGQVDSRYXATEL-UHFFFAOYSA-N,67820.0,DTXSID8059920,C7H1F15O3S1,3.82,3.82,15.0,449.9407,Sulfonic acid/Sulfonate,8.0,yes,26.0,1.0,2.0,6.0,54.37,1.0,4.2058,47.2856,0.4878,0.0,0.0,0.0,3.0,1.0,644.6414,24.86,5.6783,2.8547,0.2,0.01,2.0,,compound,
PFAS_162,PFAS,Methyl perfluorooctanoate,376-27-2,COC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,XOCNYZFAMHDXJK-UHFFFAOYSA-N,67824.0,DTXSID8059924,C9H3F15O2,5.1,5.1,15.0,427.9894,Ester,8.0,yes,26.0,0.0,2.0,6.0,26.3,0.8889,4.5335,47.753,0.4593,0.0,0.0,0.0,2.0,0.0,545.8105,24.42,5.9662,2.8178,0.24,0.01,2.0,,compound,
PFAS_163,PFAS,Perfluoropropanoic acid (PFPrA),422-64-0,OC(=O)C(F)(F)C(F)(F)F,LRMSQVBRUNSOJL-UHFFFAOYSA-N,62356.0,DTXSID8059970,C3H1F5O2,1.47,1.47,5.0,163.9897,Carboxylic acid,3.0,no,10.0,1.0,1.0,1.0,37.3,0.6667,1.2686,18.6378,0.5921,0.0,0.0,0.0,2.0,0.0,147.4623,9.12,2.0647,1.3376,0.24,0.03,3.0,,compound,
